FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
629,Mizoram,MAMIT,22.196,22.061,23.191,22.853,23.672,22.556,22.889,22.75,23.422,23.429,23.105,23.621,22.765,23.105,22.925,23.132,22.879,23.53,24.092,22.215,23.117,22.374,22.707,23.427,23.089,23.921,23.963,23.276,24.844,24.113,23.648,23.791,23.797,23.864,23.686,23.897,24.064,23.498,24.005,23.707,24.129,23.586,23.332,23.716,24.262,23.78,24.873,24.403,23.055,23.875,24.664,24.351
630,Mizoram,SAIHA,21.091,20.971,22.161,21.813,22.686,21.513,21.822,21.727,22.258,22.31,21.958,22.634,21.755,22.015,21.879,22.037,21.675,22.243,23.056,21.155,22.06,21.484,21.806,22.385,22.041,22.877,22.927,22.228,23.795,23.032,22.599,22.745,22.754,22.82,22.641,22.858,23.06,22.458,22.971,22.675,23.087,22.546,22.295,22.672,23.218,22.739,23.838,23.361,22.013,22.833,23.618,23.308
631,Mizoram,SERCHHIP,21.859,21.703,22.837,22.497,23.37,22.205,22.497,22.409,22.94,22.991,22.638,23.32,22.438,22.699,22.555,22.721,22.357,22.927,23.733,21.836,22.739,22.168,22.483,23.069,22.723,23.56,23.61,22.914,24.48,23.748,23.275,23.43,23.439,23.503,23.326,23.541,23.742,23.14,23.646,23.355,23.769,23.228,22.976,23.356,23.902,23.418,24.515,24.043,22.692,23.514,24.297,23.992
632,Nagaland,DIMAPUR,20.765,20.512,21.441,21.216,22.152,21.139,21.051,20.936,21.289,21.527,21.125,21.745,21.007,21.283,20.98,21.623,20.336,21.128,21.865,20.141,20.513,20.518,20.164,21.52,20.615,21.698,21.743,21.041,22.657,21.874,21.271,21.476,21.487,21.281,21.209,21.398,21.184,21.644,21.96,21.673,21.942,21.626,21.015,21.254,22.331,21.518,22.846,22.251,20.894,21.769,22.435,22.46
633,Nagaland,KIPHIRE,20.513,20.097,20.929,20.959,21.595,20.613,20.633,20.453,20.756,21.146,20.757,21.244,20.476,20.815,20.611,20.81,19.813,20.611,21.507,20.036,20.118,20.236,19.699,21.262,20.2,21.43,21.497,20.787,22.496,21.554,20.984,21.186,21.225,21.158,20.809,21.083,21.362,21.549,21.684,21.455,21.582,21.45,20.701,20.876,22.082,21.215,22.59,22.093,20.679,21.497,22.102,22.283
634,Nagaland,KOHIMA,20.508,20.246,20.951,20.965,21.727,20.736,20.624,20.519,20.861,21.193,20.759,21.51,20.593,20.957,20.701,21.129,19.95,20.744,21.529,19.89,20.109,20.229,19.838,21.212,20.272,21.392,21.443,20.745,22.422,21.544,20.96,21.162,21.182,21.007,20.892,21.087,20.978,21.428,21.653,21.363,21.619,21.378,20.697,20.889,22.022,21.2,22.545,21.963,20.61,21.452,22.095,22.197
635,Nagaland,LONGLENG,20.776,20.178,21.069,21.128,21.65,20.847,20.955,20.594,20.909,21.301,21.028,21.248,20.58,20.913,20.716,21.328,20.333,21.197,21.493,20.361,20.747,20.488,20.06,21.496,20.429,21.665,21.716,20.982,22.507,21.778,21.215,21.412,21.48,21.392,21.019,21.301,21.422,21.846,21.904,21.682,21.804,21.697,20.725,21.016,22.345,21.486,22.743,22.372,20.963,21.717,22.509,22.593
636,Nagaland,MOKOKCHUNG,20.682,20.16,21.025,21.08,21.635,20.758,20.827,20.557,20.879,21.28,20.93,21.244,20.548,20.888,20.682,21.196,20.192,21.046,21.457,20.268,20.621,20.403,19.883,21.41,20.344,21.577,21.632,20.9,22.462,21.693,21.129,21.326,21.379,21.305,20.937,21.215,21.351,21.767,21.828,21.601,21.724,21.605,20.675,20.949,22.254,21.394,22.676,22.274,20.866,21.639,22.392,22.493
637,Nagaland,MON,20.77,20.163,21.056,21.119,21.641,20.839,20.949,20.579,20.892,21.276,21.027,21.243,20.573,20.903,20.708,21.307,20.327,21.19,21.487,20.356,20.76,20.482,20.184,21.493,20.424,21.662,21.713,20.98,22.506,21.774,21.212,21.408,21.502,21.388,21.014,21.296,21.42,21.839,21.897,21.673,21.797,21.696,20.725,21.011,22.341,21.48,22.737,22.37,20.96,21.71,22.505,22.589
638,Nagaland,PEREN,20.855,20.743,21.602,21.302,22.508,21.43,21.29,21.349,21.713,21.782,21.462,22.165,21.392,21.612,21.231,22.103,20.729,21.516,22.272,20.482,20.843,20.854,20.635,21.846,21.066,22.047,22.081,21.422,23.074,22.253,21.628,21.842,21.829,21.662,21.698,21.787,21.547,21.888,22.283,21.965,22.315,21.845,21.402,21.793,22.664,21.881,23.168,22.532,21.167,22.099,22.827,22.69
