FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
636,Nagaland,MOKOKCHUNG,27.864,27.822,27.853,28.183,27.478,27.867,27.476,27.738,28.177,28.228,28.265,28.175,27.806,27.694,27.641,27.744,27.811,27.512,27.759,27.603,26.998,27.671,27.361,27.515,28.419,27.761,27.837,27.739,27.961,28.0,27.638,28.303,27.916,27.979,27.699,28.233,28.186,27.952,28.03,28.686,28.061,28.462,27.412,28.737,28.309,28.228,28.493,28.231,28.425,28.282,27.938,28.288
637,Nagaland,MON,27.937,27.929,27.947,28.274,27.496,27.944,27.65,27.806,28.294,28.376,28.364,28.273,27.867,27.654,27.67,27.753,27.936,27.627,27.825,27.682,27.117,27.745,27.712,27.592,28.501,27.832,27.913,27.795,28.004,28.071,27.714,28.381,27.986,28.05,27.776,28.312,28.318,27.986,28.055,28.753,28.12,28.537,27.43,28.773,28.368,28.268,28.554,28.323,28.506,28.356,27.947,28.39
638,Nagaland,PEREN,27.436,27.137,27.352,27.53,27.015,27.614,27.015,27.576,27.712,27.57,28.173,27.787,27.665,28.026,27.589,27.54,27.411,27.215,27.417,27.091,26.489,27.572,27.396,27.308,28.088,27.628,27.588,27.607,27.885,27.782,27.453,28.02,27.731,27.814,27.563,28.088,27.668,27.899,28.078,28.42,28.059,28.156,27.658,28.547,28.265,28.125,28.302,27.789,28.203,28.215,28.201,28.091
639,Nagaland,PHEK,27.603,27.424,27.371,27.724,27.108,27.548,26.944,27.457,27.639,27.613,27.901,27.767,27.585,27.81,27.502,27.407,27.322,27.073,27.416,27.144,26.313,27.431,27.201,27.211,28.09,27.472,27.532,27.5,27.757,27.716,27.342,27.983,27.634,27.662,27.427,27.947,27.88,27.816,27.958,28.352,27.813,28.163,27.414,28.568,28.085,28.033,28.23,27.845,28.091,27.97,27.885,27.877
640,Nagaland,TUENSANG,27.862,27.825,27.854,28.182,27.454,27.868,27.485,27.738,28.177,28.232,28.248,28.171,27.808,27.679,27.63,27.618,27.697,27.415,27.773,27.606,26.883,27.673,27.464,27.516,28.417,27.763,27.84,27.77,28.009,28.012,27.642,28.3,27.928,27.981,27.709,28.237,28.243,28.034,28.121,28.687,28.063,28.476,27.554,28.806,28.346,28.28,28.51,28.204,28.409,28.277,28.053,28.241
641,Nagaland,WOKHA,27.753,27.681,27.709,28.038,27.366,27.759,27.25,27.688,27.941,27.966,28.122,28.051,27.768,27.888,27.675,27.642,27.581,27.313,27.64,27.41,26.842,27.59,27.242,27.406,28.306,27.656,27.726,27.634,27.86,27.891,27.527,28.193,27.808,27.855,27.607,28.128,27.928,27.968,28.088,28.554,27.975,28.366,27.487,28.731,28.25,28.191,28.41,28.083,28.296,28.171,27.995,28.112
642,Nagaland,ZUNHEBOTO,27.54,27.4,27.406,27.746,27.153,27.512,26.953,27.415,27.648,27.633,27.851,27.748,27.536,27.765,27.467,27.33,27.25,26.985,27.436,27.249,26.468,27.329,27.129,27.169,28.067,27.421,27.494,27.455,27.713,27.676,27.295,27.949,27.592,27.638,27.367,27.889,27.853,27.758,27.859,28.346,27.727,28.138,27.33,28.526,28.035,27.987,28.183,27.833,28.051,27.931,27.816,27.851
643,Puducherry,KARAIKAL,29.931,30.068,30.841,30.165,29.999,29.762,30.335,30.094,30.124,30.327,30.647,29.94,30.874,30.885,29.94,29.829,30.732,31.107,30.314,30.231,30.212,30.36,30.461,30.542,30.796,30.524,29.731,30.672,30.575,30.44,30.123,30.503,30.994,30.402,30.129,30.775,30.463,30.211,30.286,30.969,29.982,30.634,30.993,30.592,31.029,30.975,30.604,30.817,31.023,31.12,30.263,30.327
644,Puducherry,MAHE,22.339,21.864,22.997,22.584,22.261,22.236,22.708,22.684,21.921,22.642,22.589,22.382,22.573,23.042,22.29,22.331,22.712,23.56,22.889,22.263,22.39,22.61,22.683,22.796,22.555,23.026,22.848,23.195,23.101,22.892,22.684,22.741,23.162,23.351,22.883,22.845,22.953,22.656,23.128,23.09,23.365,22.855,23.247,22.626,23.268,23.816,23.238,23.68,23.088,23.697,23.527,23.728
645,Puducherry,PONDICHERRY,30.105,29.825,30.85,30.413,29.99,29.659,29.801,30.272,30.119,30.464,30.905,30.138,30.855,30.46,30.071,29.85,31.0,31.227,30.352,30.333,30.374,30.426,30.862,29.761,30.386,30.537,29.573,30.718,30.881,30.524,30.332,30.735,31.134,30.624,30.405,31.123,30.641,29.928,30.436,31.064,29.667,30.61,31.098,30.387,31.018,30.885,30.522,30.686,31.01,31.015,30.309,30.265
