FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
11,Rajasthan,ALWAR,28.066,27.65,27.941,28.628,28.894,28.068,26.726,27.601,28.022,26.863,28.864,28.142,25.546,25.95,28.925,29.245,27.482,27.836,29.465,27.426,27.376,28.163,27.432,27.886,28.121,27.791,27.932,26.576,28.037,29.032,28.548,28.259,29.152,28.388,29.478,27.684,28.463,28.222,28.271,28.945,31.191,28.455,28.152,28.621,27.242,27.736,29.368,29.004,29.39,28.091,27.265,28.113
12,Haryana,AMBALA,25.293,24.503,24.812,25.621,25.738,25.218,23.666,24.447,24.29,23.62,25.21,24.372,22.117,22.453,25.948,26.106,23.443,24.006,25.933,24.448,23.975,24.725,24.412,24.551,24.88,24.371,24.881,23.407,24.603,26.171,25.045,24.996,25.756,24.958,26.449,24.689,25.348,25.233,25.033,25.389,27.564,25.137,25.097,25.766,24.256,24.75,26.155,26.091,26.286,25.004,23.712,25.061
13,Uttar Pradesh,AMBEDKAR NAGAR,28.715,26.603,28.932,29.3,29.41,28.98,27.876,28.025,28.018,28.599,29.575,27.837,27.133,26.891,28.648,29.239,27.841,28.353,28.496,28.094,27.015,28.359,28.372,27.386,28.494,28.86,28.8,27.324,28.037,29.176,27.667,27.928,28.329,28.462,28.923,29.052,27.74,27.714,28.298,28.418,30.216,28.095,28.186,28.366,27.639,27.695,29.163,28.38,28.356,28.605,26.802,27.632
14,Uttar Pradesh,AMETHI,28.907,27.132,28.95,29.655,29.746,29.233,27.999,28.327,28.377,27.899,29.588,27.721,26.958,26.161,29.297,29.786,28.056,28.571,29.229,28.472,27.71,28.779,28.738,28.022,28.998,29.73,29.075,27.696,28.195,29.647,28.371,28.398,29.172,29.031,30.123,29.297,28.591,27.816,28.722,28.864,30.629,28.703,28.312,28.421,27.685,28.035,29.608,29.057,28.88,29.16,27.479,28.262
15,Maharashtra,AMRAVATI,31.846,30.619,31.686,32.866,31.753,31.653,31.104,31.712,31.116,30.748,32.461,31.183,30.31,31.137,31.93,32.094,31.499,30.946,32.028,30.866,29.438,31.436,31.385,31.172,31.433,30.126,31.596,29.986,31.391,31.588,30.643,30.912,32.148,31.577,31.589,30.676,30.104,31.217,31.179,31.989,32.596,30.686,31.249,31.221,30.358,30.063,31.948,31.616,32.078,31.878,30.612,30.696
16,Gujarat,AMRELI,28.901,29.048,28.546,29.465,29.771,28.752,28.585,29.897,28.672,28.426,28.773,28.909,28.036,27.474,29.433,29.03,28.984,29.074,29.051,28.673,28.427,28.863,28.17,28.69,29.588,28.745,29.251,28.642,29.577,29.077,28.848,28.883,29.972,29.322,29.89,28.892,28.875,29.607,28.955,29.898,30.429,29.222,28.768,29.347,29.201,29.757,30.167,29.844,30.166,29.465,29.478,29.965
17,Uttar Pradesh,AMROHA,26.918,25.812,26.647,27.311,27.742,26.772,25.364,26.393,26.266,25.962,27.454,26.279,24.322,24.378,27.417,27.738,25.647,26.222,27.409,26.198,25.546,26.371,25.951,26.334,26.895,26.551,26.84,25.344,26.531,28.014,26.705,26.503,27.344,26.768,28.135,26.998,26.718,26.76,26.896,27.196,29.438,26.743,26.915,27.149,25.725,26.34,27.973,27.253,27.357,26.418,25.456,26.474
18,Gujarat,ANAND,31.02,30.797,30.241,31.398,30.992,30.472,29.864,30.983,30.172,29.845,31.44,30.858,29.305,29.155,30.851,30.863,30.829,31.067,31.234,30.637,30.103,30.837,29.927,30.54,31.147,30.038,31.338,29.975,31.313,30.567,30.27,30.568,31.449,30.876,31.384,30.573,30.64,31.097,30.484,31.45,32.438,30.951,30.427,30.917,30.842,31.073,31.93,31.316,31.6,31.063,31.125,31.321
19,Andhra Pradesh,ANANTAPUR,29.789,28.866,29.303,30.684,29.587,30.058,29.365,29.366,29.726,29.896,30.306,30.056,30.066,30.78,29.734,30.296,30.359,29.849,30.161,29.852,29.756,30.418,29.657,30.014,30.083,29.793,30.246,29.054,31.032,29.459,29.702,30.171,30.29,31.068,29.49,30.243,29.785,30.157,28.803,29.747,30.396,29.149,29.881,30.303,29.676,29.613,31.425,31.097,29.984,31.081,30.286,29.229
20,Odisha,ANGUL,30.038,28.144,31.244,31.109,30.743,30.831,29.253,29.573,30.106,30.693,31.292,29.501,29.675,29.969,30.4,30.296,29.312,29.514,29.641,30.583,28.557,30.343,29.644,29.563,29.744,29.059,30.152,28.968,29.797,30.326,30.204,29.509,30.0,30.157,29.981,30.226,29.642,29.866,29.898,30.613,31.371,29.411,30.41,30.14,29.435,29.894,30.965,30.465,29.662,30.013,28.479,30.081
