FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
96,Madhya Pradesh,CHHATARPUR,16.978,16.694,16.473,18.448,16.564,16.9,18.162,17.63,16.805,17.594,18.111,17.737,17.19,16.42,16.113,17.467,17.526,18.25,18.34,16.622,18.398,17.602,16.609,18.253,18.087,16.654,17.512,16.755,17.247,17.273,16.959,17.198,17.71,16.308,16.833,17.209,20.253,18.288,16.833,19.127,17.183,17.254,16.594,16.617,16.187,16.856,18.942,18.159,18.323,17.162,16.9,18.313
97,Madhya Pradesh,CHHINDWARA,19.885,18.892,18.218,20.168,18.796,18.285,19.27,19.853,18.35,19.021,20.342,19.151,19.703,18.766,18.459,19.322,19.036,18.77,20.361,18.896,20.262,19.497,18.792,19.945,19.336,18.531,20.572,17.934,18.969,19.27,18.924,20.279,19.563,19.933,19.022,19.286,21.196,19.839,18.457,21.664,18.959,19.02,18.38,18.709,19.196,18.574,20.134,19.425,18.997,18.774,18.006,20.023
98,Gujarat,CHHOTAUDEPUR,21.506,20.772,20.319,21.472,20.753,20.815,22.178,21.491,21.18,21.504,22.117,21.167,21.554,20.335,19.433,20.862,21.496,22.457,22.962,20.91,22.688,20.717,20.518,21.983,21.556,20.617,21.94,20.539,21.547,21.196,20.926,21.543,21.066,21.83,21.419,20.424,22.924,22.253,19.759,22.844,22.326,20.897,19.932,21.133,20.762,21.471,22.254,22.083,22.408,20.639,21.096,22.131
99,Karnataka,CHIKABALLAPUR,22.355,22.352,21.852,22.679,21.857,22.745,21.036,22.352,22.814,23.231,22.465,23.066,22.636,23.512,22.637,23.226,22.164,22.166,22.932,22.394,22.933,23.452,22.16,22.357,22.707,22.906,22.709,22.56,24.113,22.492,23.389,23.524,22.8,23.802,23.024,23.684,22.335,22.594,22.692,22.677,23.287,22.051,22.865,23.345,23.183,22.709,23.77,23.236,22.62,23.082,23.574,22.344
100,Karnataka,CHIKAMAGALURU,23.623,22.751,22.528,23.952,23.022,22.868,21.702,23.279,23.077,23.307,22.828,23.192,22.847,22.89,23.962,24.068,22.874,23.106,23.583,23.007,22.646,23.498,22.746,22.769,22.669,23.133,23.475,22.343,24.057,23.624,23.559,23.959,23.683,24.026,23.517,23.575,22.508,23.042,23.064,23.395,23.61,22.405,23.183,23.62,23.469,22.804,23.93,23.802,23.153,23.148,23.786,23.791
101,Karnataka,CHITRADURGA,24.355,23.726,23.32,24.742,23.422,23.789,22.192,23.912,23.857,24.298,23.968,24.103,23.999,24.128,24.414,24.786,23.434,23.585,24.196,23.519,23.64,24.48,23.237,23.098,23.816,23.817,24.194,22.784,24.849,23.825,24.348,24.613,24.312,25.128,24.296,24.932,23.4,23.973,23.89,23.962,24.478,23.098,24.335,24.684,24.095,23.645,24.937,24.482,23.705,24.059,24.567,23.688
102,Uttar Pradesh,CHITRAKOOT,17.128,16.903,16.402,18.79,16.745,17.106,18.166,17.532,16.497,17.267,17.721,17.559,17.411,15.794,15.944,17.522,17.504,18.187,18.076,16.624,18.385,17.613,16.714,18.445,18.37,17.265,17.914,17.076,17.637,17.784,17.291,17.77,18.183,16.096,17.043,17.858,19.702,17.71,17.247,19.199,16.897,17.204,17.152,16.887,16.613,17.302,19.093,18.365,18.3,17.717,17.115,18.245
103,Rajasthan,CHITTORGARH,17.742,16.914,16.493,17.769,16.408,15.804,18.163,17.766,16.56,17.185,18.001,17.523,17.457,16.435,16.028,17.302,17.048,17.939,18.915,16.885,18.219,17.312,17.046,18.62,17.853,16.896,17.553,16.825,17.191,17.475,16.739,18.195,17.662,18.217,18.22,16.922,19.715,19.079,15.995,19.521,18.628,17.422,16.449,16.988,16.374,17.814,18.738,17.814,18.635,16.741,16.686,17.971
104,Andhra Pradesh,CHITTOOR,24.217,24.097,23.499,24.554,23.285,24.408,22.818,23.862,24.577,24.771,24.188,24.6,24.276,25.334,24.324,24.631,23.703,24.086,24.601,23.901,24.562,24.975,24.126,24.084,24.491,24.347,24.208,24.118,25.788,23.731,24.852,24.733,24.302,25.28,24.41,25.156,24.111,24.29,24.494,24.485,24.844,24.182,24.464,24.955,24.693,24.502,25.361,24.741,24.417,24.86,25.124,24.327
105,Rajasthan,CHURU,15.306,14.979,14.25,15.56,13.59,12.889,16.044,14.822,14.273,14.96,15.222,16.042,14.182,14.53,13.383,15.663,14.821,16.619,16.894,14.638,16.5,15.295,15.176,16.468,15.83,15.276,15.871,14.803,15.303,15.554,14.645,15.666,15.615,14.835,15.661,14.718,18.256,16.107,14.252,17.415,16.325,15.193,14.718,15.178,14.666,16.245,16.629,16.364,16.962,15.068,15.036,16.456
